NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Unidade de Medida (Código);Unidade de Medida;Valor
1;Brasil;1;Brasil;93;População residente;2022;2022;45;Pessoas;203080756
1;Brasil;1;Brasil;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;8510417.771
1;Brasil;1;Brasil;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;23.86
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;45;Pessoas;8794957
3;Unidade da Federação;23;Ceará;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;148894.447
3;Unidade da Federação;23;Ceará;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;59.07
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;45;Pessoas;10038
6;Município;2300101;Abaiara - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;180.833
6;Município;2300101;Abaiara - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;55.51
6;Município;2300150;Acarape - CE;93;População residente;2022;2022;45;Pessoas;14027
6;Município;2300150;Acarape - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;130.002
6;Município;2300150;Acarape - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;107.90
6;Município;2300200;Acaraú - CE;93;População residente;2022;2022;45;Pessoas;65264
6;Município;2300200;Acaraú - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;842.471
6;Município;2300200;Acaraú - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;77.47
6;Município;2300309;Acopiara - CE;93;População residente;2022;2022;45;Pessoas;44962
6;Município;2300309;Acopiara - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;2254.279
6;Município;2300309;Acopiara - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;19.95
6;Município;2300408;Aiuaba - CE;93;População residente;2022;2022;45;Pessoas;14076
6;Município;2300408;Aiuaba - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;2438.563
6;Município;2300408;Aiuaba - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;5.77
6;Município;2300507;Alcântaras - CE;93;População residente;2022;2022;45;Pessoas;11369
6;Município;2300507;Alcântaras - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;135.760
6;Município;2300507;Alcântaras - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;83.74
6;Município;2300606;Altaneira - CE;93;População residente;2022;2022;45;Pessoas;6782
6;Município;2300606;Altaneira - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;72.675
6;Município;2300606;Altaneira - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;93.32
6;Município;2300705;Alto Santo - CE;93;População residente;2022;2022;45;Pessoas;14155
6;Município;2300705;Alto Santo - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;1147.208
6;Município;2300705;Alto Santo - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;12.34
6;Município;2300754;Amontada - CE;93;População residente;2022;2022;45;Pessoas;42156
6;Município;2300754;Amontada - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;1175.044
6;Município;2300754;Amontada - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;35.88
6;Município;2300804;Antonina do Norte - CE;93;População residente;2022;2022;45;Pessoas;7245
6;Município;2300804;Antonina do Norte - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;259.706
6;Município;2300804;Antonina do Norte - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;27.90
6;Município;2300903;Apuiarés - CE;93;População residente;2022;2022;45;Pessoas;12928
6;Município;2300903;Apuiarés - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;543.980
6;Município;2300903;Apuiarés - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;23.77
6;Município;2301000;Aquiraz - CE;93;População residente;2022;2022;45;Pessoas;80645
6;Município;2301000;Aquiraz - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;480.236
6;Município;2301000;Aquiraz - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;167.93
6;Município;2301109;Aracati - CE;93;População residente;2022;2022;45;Pessoas;75113
6;Município;2301109;Aracati - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;1227.197
6;Município;2301109;Aracati - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;61.21
6;Município;2301208;Aracoiaba - CE;93;População residente;2022;2022;45;Pessoas;25553
6;Município;2301208;Aracoiaba - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;643.988
6;Município;2301208;Aracoiaba - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;39.68
6;Município;2301257;Ararendá - CE;93;População residente;2022;2022;45;Pessoas;11096
6;Município;2301257;Ararendá - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;342.301
6;Município;2301257;Ararendá - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;32.42
6;Município;2301307;Araripe - CE;93;População residente;2022;2022;45;Pessoas;19783
6;Município;2301307;Araripe - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;1097.339
6;Município;2301307;Araripe - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;18.03
6;Município;2301406;Aratuba - CE;93;População residente;2022;2022;45;Pessoas;11224
6;Município;2301406;Aratuba - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;119.758
6;Município;2301406;Aratuba - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;93.72
6;Município;2301505;Arneiroz - CE;93;População residente;2022;2022;45;Pessoas;7429
6;Município;2301505;Arneiroz - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;1068.437
6;Município;2301505;Arneiroz - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;6.95
6;Município;2301604;Assaré - CE;93;População residente;2022;2022;45;Pessoas;21697
6;Município;2301604;Assaré - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;1155.124
6;Município;2301604;Assaré - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;18.78
6;Município;2301703;Aurora - CE;93;População residente;2022;2022;45;Pessoas;23714
6;Município;2301703;Aurora - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;885.870
6;Município;2301703;Aurora - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;26.77
6;Município;2301802;Baixio - CE;93;População residente;2022;2022;45;Pessoas;5704
6;Município;2301802;Baixio - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;145.556
6;Município;2301802;Baixio - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;39.19
6;Município;2301851;Banabuiú - CE;93;População residente;2022;2022;45;Pessoas;17195
6;Município;2301851;Banabuiú - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;1080.986
6;Município;2301851;Banabuiú - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;15.91
6;Município;2301901;Barbalha - CE;93;População residente;2022;2022;45;Pessoas;75033
6;Município;2301901;Barbalha - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;608.158
6;Município;2301901;Barbalha - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;123.38
6;Município;2301950;Barreira - CE;93;População residente;2022;2022;45;Pessoas;22392
6;Município;2301950;Barreira - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;260.003
6;Município;2301950;Barreira - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;86.12
6;Município;2302008;Barro - CE;93;População residente;2022;2022;45;Pessoas;19381
6;Município;2302008;Barro - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;711.346
6;Município;2302008;Barro - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;27.25
6;Município;2302057;Barroquinha - CE;93;População residente;2022;2022;45;Pessoas;14567
6;Município;2302057;Barroquinha - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;385.583
6;Município;2302057;Barroquinha - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;37.78
6;Município;2302107;Baturité - CE;93;População residente;2022;2022;45;Pessoas;35218
6;Município;2302107;Baturité - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;314.075
6;Município;2302107;Baturité - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;112.13
6;Município;2302206;Beberibe - CE;93;População residente;2022;2022;45;Pessoas;53114
6;Município;2302206;Beberibe - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;1596.751
6;Município;2302206;Beberibe - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;33.26
6;Município;2302305;Bela Cruz - CE;93;População residente;2022;2022;45;Pessoas;32775
6;Município;2302305;Bela Cruz - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;842.106
6;Município;2302305;Bela Cruz - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;38.92
6;Município;2302404;Boa Viagem - CE;93;População residente;2022;2022;45;Pessoas;50411
6;Município;2302404;Boa Viagem - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;2835.037
6;Município;2302404;Boa Viagem - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;17.78
6;Município;2302503;Brejo Santo - CE;93;População residente;2022;2022;45;Pessoas;51090
6;Município;2302503;Brejo Santo - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;654.658
6;Município;2302503;Brejo Santo - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;78.04
6;Município;2302602;Camocim - CE;93;População residente;2022;2022;45;Pessoas;62326
6;Município;2302602;Camocim - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;1120.452
6;Município;2302602;Camocim - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;55.63
6;Município;2302701;Campos Sales - CE;93;População residente;2022;2022;45;Pessoas;25135
6;Município;2302701;Campos Sales - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;1082.582
6;Município;2302701;Campos Sales - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;23.22
6;Município;2302800;Canindé - CE;93;População residente;2022;2022;45;Pessoas;74174
6;Município;2302800;Canindé - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;3032.390
6;Município;2302800;Canindé - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;24.46
6;Município;2302909;Capistrano - CE;93;População residente;2022;2022;45;Pessoas;17254
6;Município;2302909;Capistrano - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;226.549
6;Município;2302909;Capistrano - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;76.16
6;Município;2303006;Caridade - CE;93;População residente;2022;2022;45;Pessoas;16377
6;Município;2303006;Caridade - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;926.271
6;Município;2303006;Caridade - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;17.68
6;Município;2303105;Cariré - CE;93;População residente;2022;2022;45;Pessoas;17632
6;Município;2303105;Cariré - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;755.597
6;Município;2303105;Cariré - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;23.34
6;Município;2303204;Caririaçu - CE;93;População residente;2022;2022;45;Pessoas;26320
6;Município;2303204;Caririaçu - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;634.179
6;Município;2303204;Caririaçu - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;41.50
6;Município;2303303;Cariús - CE;93;População residente;2022;2022;45;Pessoas;17015
6;Município;2303303;Cariús - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;1036.417
6;Município;2303303;Cariús - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;16.42
6;Município;2303402;Carnaubal - CE;93;População residente;2022;2022;45;Pessoas;17210
6;Município;2303402;Carnaubal - CE;6318;Área da unidade territorial;2022;2022;26;Quilômetros quadrados;363.220
6;Município;2303402;Carnaubal - CE;614;Densidade demográfica;2022;2022;28;Habitante por quilômetro quadrado;47.38
6;Município;2303501;Cascavel - CE;93;População residente;2022;2022;45;Pessoas;72720
