NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;D4C;D4N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Existência de ligação à rede geral de distribuição de água e principal forma de abastecimento de água (Código);Existência de ligação à rede geral de distribuição de água e principal forma de abastecimento de água;Unidade de Medida (Código);Unidade de Medida;Valor
1;Brasil;1;Brasil;381;Domicílios particulares permanentes ocupados;2022;2022;72129;Total;1020;Unidades;72456368
1;Brasil;1;Brasil;381;Domicílios particulares permanentes ocupados;2022;2022;72144;Possui ligação à rede geral e a utiliza como forma principal;1020;Unidades;60775085
1;Brasil;1;Brasil;381;Domicílios particulares permanentes ocupados;2022;2022;72145;Possui ligação à rede geral, mas utiliza principalmente outra forma;1020;Unidades;2573139
1;Brasil;1;Brasil;381;Domicílios particulares permanentes ocupados;2022;2022;72153;Não possui ligação com a rede geral;1020;Unidades;9108144
3;Unidade da Federação;23;Ceará;381;Domicílios particulares permanentes ocupados;2022;2022;72129;Total;1020;Unidades;3020374
3;Unidade da Federação;23;Ceará;381;Domicílios particulares permanentes ocupados;2022;2022;72144;Possui ligação à rede geral e a utiliza como forma principal;1020;Unidades;2392416
3;Unidade da Federação;23;Ceará;381;Domicílios particulares permanentes ocupados;2022;2022;72145;Possui ligação à rede geral, mas utiliza principalmente outra forma;1020;Unidades;142507
3;Unidade da Federação;23;Ceará;381;Domicílios particulares permanentes ocupados;2022;2022;72153;Não possui ligação com a rede geral;1020;Unidades;485451
6;Município;2300101;Abaiara - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72129;Total;1020;Unidades;3495
6;Município;2300101;Abaiara - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72144;Possui ligação à rede geral e a utiliza como forma principal;1020;Unidades;1820
6;Município;2300101;Abaiara - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72145;Possui ligação à rede geral, mas utiliza principalmente outra forma;1020;Unidades;452
6;Município;2300101;Abaiara - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72153;Não possui ligação com a rede geral;1020;Unidades;1223
6;Município;2300150;Acarape - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72129;Total;1020;Unidades;4439
6;Município;2300150;Acarape - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72144;Possui ligação à rede geral e a utiliza como forma principal;1020;Unidades;3835
6;Município;2300150;Acarape - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72145;Possui ligação à rede geral, mas utiliza principalmente outra forma;1020;Unidades;57
6;Município;2300150;Acarape - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72153;Não possui ligação com a rede geral;1020;Unidades;547
6;Município;2300200;Acaraú - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72129;Total;1020;Unidades;20955
6;Município;2300200;Acaraú - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72144;Possui ligação à rede geral e a utiliza como forma principal;1020;Unidades;14172
6;Município;2300200;Acaraú - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72145;Possui ligação à rede geral, mas utiliza principalmente outra forma;1020;Unidades;1828
6;Município;2300200;Acaraú - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72153;Não possui ligação com a rede geral;1020;Unidades;4955
6;Município;2300309;Acopiara - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72129;Total;1020;Unidades;16398
6;Município;2300309;Acopiara - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72144;Possui ligação à rede geral e a utiliza como forma principal;1020;Unidades;10579
6;Município;2300309;Acopiara - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72145;Possui ligação à rede geral, mas utiliza principalmente outra forma;1020;Unidades;712
6;Município;2300309;Acopiara - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72153;Não possui ligação com a rede geral;1020;Unidades;5107
6;Município;2300408;Aiuaba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72129;Total;1020;Unidades;4923
6;Município;2300408;Aiuaba - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72144;Possui ligação à rede geral e a utiliza como forma principal;1020;Unidades;2997
