NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;D4C;D4N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Tipo de esgotamento sanitário (Código);Tipo de esgotamento sanitário;Unidade de Medida (Código);Unidade de Medida;Valor
1;Brasil;1;Brasil;381;Domicílios particulares permanentes ocupados;2022;2022;46292;Total;1020;Unidades;72456368
1;Brasil;1;Brasil;381;Domicílios particulares permanentes ocupados;2022;2022;72110;Rede geral ou pluvial;1020;Unidades;43781970
1;Brasil;1;Brasil;381;Domicílios particulares permanentes ocupados;2022;2022;72111;Fossa séptica ou fossa filtro ligada à rede;1020;Unidades;3093370
1;Brasil;1;Brasil;381;Domicílios particulares permanentes ocupados;2022;2022;72112;Fossa séptica ou fossa filtro não ligada à rede;1020;Unidades;9213733
1;Brasil;1;Brasil;381;Domicílios particulares permanentes ocupados;2022;2022;72113;Fossa rudimentar ou buraco;1020;Unidades;13143648
1;Brasil;1;Brasil;381;Domicílios particulares permanentes ocupados;2022;2022;92858;Vala;1020;Unidades;986750
1;Brasil;1;Brasil;381;Domicílios particulares permanentes ocupados;2022;2022;72114;Rio, lago, córrego ou mar;1020;Unidades;1380308
1;Brasil;1;Brasil;381;Domicílios particulares permanentes ocupados;2022;2022;72115;Outra forma;1020;Unidades;489680
1;Brasil;1;Brasil;381;Domicílios particulares permanentes ocupados;2022;2022;92861;Não tinham banheiro nem sanitário;1020;Unidades;366909
3;Unidade da Federação;23;Ceará;381;Domicílios particulares permanentes ocupados;2022;2022;46292;Total;1020;Unidades;3020374
3;Unidade da Federação;23;Ceará;381;Domicílios particulares permanentes ocupados;2022;2022;72110;Rede geral ou pluvial;1020;Unidades;1155282
3;Unidade da Federação;23;Ceará;381;Domicílios particulares permanentes ocupados;2022;2022;72111;Fossa séptica ou fossa filtro ligada à rede;1020;Unidades;88333
3;Unidade da Federação;23;Ceará;381;Domicílios particulares permanentes ocupados;2022;2022;72112;Fossa séptica ou fossa filtro não ligada à rede;1020;Unidades;593954
