NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;D4C;D4N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Destino do lixo (Código);Destino do lixo;Unidade de Medida (Código);Unidade de Medida;Valor
1;Brasil;1;Brasil;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;72456368
1;Brasil;1;Brasil;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;60221111
1;Brasil;1;Brasil;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;6228376
1;Brasil;1;Brasil;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;5151186
1;Brasil;1;Brasil;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;194713
1;Brasil;1;Brasil;381;Domicílios particulares permanentes ocupados;2022;2022;72124;Jogado em terreno baldio, encosta ou área pública;1020;Unidades;430839
1;Brasil;1;Brasil;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;230143
3;Unidade da Federação;23;Ceará;381;Domicílios particulares permanentes ocupados;2022;2022;10972;Total;1020;Unidades;3020374
3;Unidade da Federação;23;Ceará;381;Domicílios particulares permanentes ocupados;2022;2022;72120;Coletado no domicílio por serviço de limpeza;1020;Unidades;2330463
3;Unidade da Federação;23;Ceará;381;Domicílios particulares permanentes ocupados;2022;2022;72121;Depositado em caçamba de serviço de limpeza;1020;Unidades;251275
3;Unidade da Federação;23;Ceará;381;Domicílios particulares permanentes ocupados;2022;2022;72122;Queimado na propriedade;1020;Unidades;391312
3;Unidade da Federação;23;Ceará;381;Domicílios particulares permanentes ocupados;2022;2022;72123;Enterrado na propriedade;1020;Unidades;10081
3;Unidade da Federação;23;Ceará;381;Domicílios particulares permanentes ocupados;2022;2022;72124;Jogado em terreno baldio, encosta ou área pública;1020;Unidades;30906
3;Unidade da Federação;23;Ceará;381;Domicílios particulares permanentes ocupados;2022;2022;1091;Outro destino;1020;Unidades;6337
